
2024/04/02 (01:37:16) | ===> btop++ v.1.3.2
2024/04/02 (01:37:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (01:37:32) | ===> btop++ v.1.3.2
2024/04/02 (01:37:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (17:07:07) | ===> btop++ v.1.3.2
2024/04/02 (17:07:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (20:47:15) | ===> btop++ v.1.3.2
2024/04/02 (20:47:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/03 (18:37:42) | ===> btop++ v.1.3.2
2024/04/03 (18:37:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/05 (12:01:29) | ===> btop++ v.1.3.2
2024/04/05 (12:01:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/05 (12:20:44) | ===> btop++ v.1.3.2
2024/04/05 (12:20:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/05 (12:25:32) | ===> btop++ v.1.3.2
2024/04/05 (12:25:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/07 (16:23:24) | ===> btop++ v.1.3.2
2024/04/07 (16:23:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/07 (17:10:53) | ===> btop++ v.1.3.2
2024/04/07 (17:10:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (23:29:09) | ===> btop++ v.1.3.2
2024/04/08 (23:29:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (23:30:21) | ===> btop++ v.1.3.2
2024/04/08 (23:30:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (23:34:43) | ===> btop++ v.1.3.2
2024/04/08 (23:34:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (23:42:11) | ===> btop++ v.1.3.2
2024/04/08 (23:42:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/09 (00:21:49) | ===> btop++ v.1.3.2
2024/04/09 (00:21:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/09 (00:22:01) | ===> btop++ v.1.3.2
2024/04/09 (00:22:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/15 (14:42:38) | ===> btop++ v.1.3.2
2024/04/15 (14:42:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/18 (13:23:11) | ===> btop++ v.1.3.2
2024/04/18 (13:23:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/20 (15:51:51) | ===> btop++ v.1.3.2
2024/04/20 (15:51:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/20 (15:51:51) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/20 (15:51:51) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/20 (15:51:51) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state
2024/04/20 (15:51:51) | WARNING: NVML: Failed to get GPU power usage: System is not in ready state

2024/04/22 (15:06:44) | ===> btop++ v.1.3.2
2024/04/22 (15:06:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/22 (15:06:44) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/22 (15:06:44) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/22 (15:06:44) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state
2024/04/22 (15:06:44) | WARNING: NVML: Failed to get GPU power usage: System is not in ready state

2024/04/22 (15:07:41) | ===> btop++ v.1.3.2
2024/04/22 (15:07:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/22 (15:07:41) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/22 (15:07:41) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/22 (15:07:41) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state
2024/04/22 (15:07:41) | WARNING: NVML: Failed to get GPU power usage: System is not in ready state

2024/04/22 (15:09:14) | ===> btop++ v.1.3.2
2024/04/22 (15:09:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/22 (15:09:14) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/22 (15:09:14) | WARNING: NVML: Failed to get GPU clock speed: System is not in ready state
2024/04/22 (15:09:14) | WARNING: NVML: Failed to get VRAM clock speed: System is not in ready state
2024/04/22 (15:09:14) | WARNING: NVML: Failed to get GPU power usage: System is not in ready state

2024/04/22 (15:10:30) | ===> btop++ v.1.3.2
2024/04/22 (15:10:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
